feedback_id,customer_name,feedback,date,product,clean_feedback,category
55,Divya,Delivery was too late,2025-07-01,E-commerce,delivery too late,Delivery
56,Sneha,Customer support did not respond,2025-06-29,Smart Watch,customer support did not respond,Support
57,Sneha,Very bad experience and disappointed,2025-09-10,Laptop,very bad experience disappointed,Product
58,Arun,Worst product ever,2025-08-01,Mobile,worst product ever,Product
59,Arun,Excellent quality and very satisfied,2025-12-22,Banking App,excellent quality very satisfied,Product
60,Anitha,Acceptable performance,2025-11-30,Mobile,acceptable performance,General
61,Manoj,Delivery was too late,2025-01-06,Banking App,delivery too late,Delivery
62,Arun,Customer support did not respond,2025-03-27,E-commerce,customer support did not respond,Support
63,Priya,Delivery was too late,2025-01-25,Headphones,delivery too late,Delivery
64,Sneha,Acceptable performance,2025-02-14,Mobile,acceptable performance,General
65,Suresh,"Amazing experience, highly recommend",2025-07-22,Laptop,amazing experience highly recommend,General
66,Pooja,Customer support did not respond,2025-07-19,Mobile App,customer support did not respond,Support
67,Sneha,Poor quality and waste of money,2025-06-30,Mobile App,poor quality waste money,Product
68,Divya,Great service and fast delivery,2025-02-12,Mobile App,great service fast delivery,Delivery
69,Manoj,Very bad experience and disappointed,2025-11-13,Laptop,very bad experience disappointed,Product
70,Priya,Delivery was too late,2025-03-18,Smart Watch,delivery too late,Delivery
71,Manoj,Nothing special,2025-10-18,Banking App,nothing special,General
72,Anitha,Very happy with the product,2025-07-07,Laptop,very happy product,Product
73,Sneha,Average experience,2025-04-08,Laptop,average experience,General
74,Priya,"Amazing experience, highly recommend",2025-10-14,E-commerce,amazing experience highly recommend,General
75,Priya,"Amazing experience, highly recommend",2026-01-01,Banking App,amazing experience highly recommend,General
76,Arun,Acceptable performance,2025-08-12,Smart Watch,acceptable performance,General
77,Rahul,Average experience,2025-12-30,Internet Service,average experience,General
78,Arun,Great service and fast delivery,2025-01-07,Laptop,great service fast delivery,Delivery
79,Manoj,Worst product ever,2025-10-26,Mobile,worst product ever,Product
80,Karthik,Great service and fast delivery,2025-04-23,Headphones,great service fast delivery,Delivery
81,Anitha,Worst product ever,2025-01-02,E-commerce,worst product ever,Product
82,Divya,"Amazing experience, highly recommend",2025-07-10,Headphones,amazing experience highly recommend,General
83,Priya,Okay for the price,2025-03-03,Banking App,okay price,Price
84,Suresh,Very happy with the product,2025-08-28,Headphones,very happy product,Product
85,Karthik,Very happy with the product,2025-06-20,Mobile App,very happy product,Product
86,Rahul,Poor quality and waste of money,2025-11-23,Internet Service,poor quality waste money,Product
87,Sneha,Nothing special,2025-02-02,Mobile,nothing special,General
88,Sneha,Worst product ever,2025-06-10,Laptop,worst product ever,Product
89,Anitha,Nothing special,2025-05-03,Smart Watch,nothing special,General
90,Manoj,Average experience,2025-06-10,Banking App,average experience,General
91,Rahul,Average experience,2025-04-13,Headphones,average experience,General
92,Suresh,Poor quality and waste of money,2025-08-30,Mobile App,poor quality waste money,Product
93,Anitha,Worst product ever,2025-09-30,Banking App,worst product ever,Product
94,Manoj,Delivery was too late,2025-08-07,Headphones,delivery too late,Delivery
95,Arun,Worst product ever,2025-08-01,E-commerce,worst product ever,Product
96,Arun,Okay for the price,2025-01-19,Internet Service,okay price,Price
97,Anitha,Excellent quality and very satisfied,2025-03-11,Laptop,excellent quality very satisfied,Product
98,Manoj,"Amazing experience, highly recommend",2025-01-16,E-commerce,amazing experience highly recommend,General
99,Priya,Great service and fast delivery,2025-01-31,Banking App,great service fast delivery,Delivery
100,Pooja,Very bad experience and disappointed,2025-01-31,Smart Watch,very bad experience disappointed,Product
101,Priya,Support team was very helpful,2025-06-18,Mobile,support team very helpful,Support
102,Rahul,Poor quality and waste of money,2025-02-07,Banking App,poor quality waste money,Product
103,Pooja,Very bad experience and disappointed,2025-12-19,Mobile,very bad experience disappointed,Product
104,Pooja,Customer support did not respond,2025-11-30,Mobile,customer support did not respond,Support
105,Karthik,Nothing special,2025-11-12,Laptop,nothing special,General
106,Anitha,Average experience,2025-11-01,Smart Watch,average experience,General
107,Priya,Poor quality and waste of money,2025-08-13,E-commerce,poor quality waste money,Product
108,Divya,Acceptable performance,2025-12-28,Headphones,acceptable performance,General
109,Manoj,Support team was very helpful,2025-04-09,Mobile App,support team very helpful,Support
110,Rahul,Decent product,2025-12-31,Banking App,decent product,Product
111,Manoj,Acceptable performance,2025-10-25,Mobile App,acceptable performance,General
112,Pooja,"Amazing experience, highly recommend",2025-05-15,Headphones,amazing experience highly recommend,General
113,Arun,Average experience,2025-01-07,Laptop,average experience,General
114,Divya,"Amazing experience, highly recommend",2025-07-27,Internet Service,amazing experience highly recommend,General
115,Karthik,Very bad experience and disappointed,2025-03-21,Mobile,very bad experience disappointed,Product
116,Sneha,"Amazing experience, highly recommend",2025-04-14,E-commerce,amazing experience highly recommend,General
117,Karthik,Worst product ever,2025-06-11,Mobile App,worst product ever,Product
118,Rahul,"Amazing experience, highly recommend",2025-07-04,Mobile,amazing experience highly recommend,General
119,Divya,Support team was very helpful,2025-05-20,E-commerce,support team very helpful,Support
120,Rahul,"Amazing experience, highly recommend",2025-12-22,Mobile,amazing experience highly recommend,General
121,Karthik,Customer support did not respond,2025-08-21,Internet Service,customer support did not respond,Support
122,Sneha,"Amazing experience, highly recommend",2025-04-14,Mobile App,amazing experience highly recommend,General
123,Pooja,"Amazing experience, highly recommend",2025-01-26,E-commerce,amazing experience highly recommend,General
124,Arun,Okay for the price,2025-08-23,Laptop,okay price,Price
125,Divya,Support team was very helpful,2025-05-09,Smart Watch,support team very helpful,Support
126,Rahul,Poor quality and waste of money,2025-09-02,E-commerce,poor quality waste money,Product
127,Suresh,Nothing special,2025-11-24,Banking App,nothing special,General
128,Anitha,Customer support did not respond,2025-01-19,Smart Watch,customer support did not respond,Support
129,Sneha,Very bad experience and disappointed,2025-04-19,Mobile App,very bad experience disappointed,Product
130,Pooja,Customer support did not respond,2025-03-11,Internet Service,customer support did not respond,Support
131,Karthik,Worst product ever,2025-03-16,E-commerce,worst product ever,Product
132,Anitha,Nothing special,2025-12-06,Headphones,nothing special,General
133,Karthik,Excellent quality and very satisfied,2025-01-29,Headphones,excellent quality very satisfied,Product
134,Divya,Nothing special,2025-01-31,Headphones,nothing special,General
135,Suresh,Great service and fast delivery,2025-08-30,Mobile App,great service fast delivery,Delivery
136,Suresh,Average experience,2025-05-06,Headphones,average experience,General
137,Karthik,Delivery was too late,2025-06-14,E-commerce,delivery too late,Delivery
138,Anitha,"Amazing experience, highly recommend",2025-07-15,Banking App,amazing experience highly recommend,General
139,Arun,Okay for the price,2025-05-10,Mobile App,okay price,Price
140,Sneha,Great service and fast delivery,2025-02-27,E-commerce,great service fast delivery,Delivery
141,Suresh,Okay for the price,2025-03-28,Mobile App,okay price,Price
142,Divya,Delivery was too late,2025-09-15,Laptop,delivery too late,Delivery
143,Priya,Nothing special,2025-11-22,Smart Watch,nothing special,General
144,Pooja,Acceptable performance,2025-07-19,Mobile,acceptable performance,General
145,Arun,"Amazing experience, highly recommend",2025-05-05,Mobile,amazing experience highly recommend,General
146,Rahul,Very bad experience and disappointed,2025-08-24,Headphones,very bad experience disappointed,Product
147,Rahul,Poor quality and waste of money,2025-12-21,Mobile App,poor quality waste money,Product
148,Pooja,Average experience,2025-06-23,Laptop,average experience,General
149,Rahul,Average experience,2025-05-01,Mobile,average experience,General
150,Anitha,Delivery was too late,2025-07-27,E-commerce,delivery too late,Delivery
151,Priya,Okay for the price,2025-11-18,Internet Service,okay price,Price
152,Pooja,Average experience,2025-11-14,Smart Watch,average experience,General
153,Priya,Average experience,2025-04-04,Laptop,average experience,General
154,Karthik,Very happy with the product,2025-03-17,Banking App,very happy product,Product
155,Suresh,Acceptable performance,2025-06-30,Laptop,acceptable performance,General
156,Divya,Poor quality and waste of money,2025-10-13,Banking App,poor quality waste money,Product
157,Suresh,Great service and fast delivery,2025-02-23,Mobile App,great service fast delivery,Delivery
158,Priya,Acceptable performance,2025-03-27,Mobile,acceptable performance,General
159,Manoj,Support team was very helpful,2025-05-07,E-commerce,support team very helpful,Support
160,Manoj,Great service and fast delivery,2025-08-10,Headphones,great service fast delivery,Delivery
161,Suresh,Nothing special,2025-01-06,E-commerce,nothing special,General
162,Manoj,Delivery was too late,2025-02-19,Mobile,delivery too late,Delivery
163,Pooja,Decent product,2025-11-12,Smart Watch,decent product,Product
164,Sneha,Support team was very helpful,2025-10-27,Smart Watch,support team very helpful,Support
165,Karthik,Customer support did not respond,2025-02-23,Internet Service,customer support did not respond,Support
166,Karthik,Support team was very helpful,2025-09-17,Smart Watch,support team very helpful,Support
167,Rahul,"Amazing experience, highly recommend",2025-03-14,Mobile App,amazing experience highly recommend,General
168,Arun,Worst product ever,2025-07-30,E-commerce,worst product ever,Product
169,Anitha,Decent product,2025-08-20,Internet Service,decent product,Product
170,Pooja,"Amazing experience, highly recommend",2025-02-01,E-commerce,amazing experience highly recommend,General
171,Pooja,Delivery was too late,2025-12-11,Headphones,delivery too late,Delivery
172,Sneha,Nothing special,2025-10-22,Headphones,nothing special,General
173,Karthik,Very bad experience and disappointed,2025-03-10,E-commerce,very bad experience disappointed,Product
174,Divya,Acceptable performance,2025-12-10,Smart Watch,acceptable performance,General
175,Manoj,Excellent quality and very satisfied,2025-06-30,Headphones,excellent quality very satisfied,Product
176,Divya,Support team was very helpful,2025-01-11,Laptop,support team very helpful,Support
177,Manoj,Support team was very helpful,2025-05-18,Mobile,support team very helpful,Support
178,Arun,Customer support did not respond,2025-08-10,Smart Watch,customer support did not respond,Support
179,Anitha,Support team was very helpful,2025-02-15,Mobile App,support team very helpful,Support
180,Sneha,Average experience,2025-08-18,Mobile App,average experience,General
181,Priya,Average experience,2025-05-06,Headphones,average experience,General
182,Anitha,Support team was very helpful,2025-03-07,Laptop,support team very helpful,Support
183,Divya,Acceptable performance,2025-09-09,E-commerce,acceptable performance,General
184,Suresh,Poor quality and waste of money,2025-11-11,Mobile App,poor quality waste money,Product
185,Anitha,Decent product,2025-11-13,Laptop,decent product,Product
186,Divya,Average experience,2025-03-03,Laptop,average experience,General
187,Arun,Nothing special,2025-04-22,Headphones,nothing special,General
188,Pooja,Average experience,2025-05-19,Smart Watch,average experience,General
189,Manoj,Very bad experience and disappointed,2025-10-17,Mobile,very bad experience disappointed,Product
190,Sneha,Very happy with the product,2025-01-05,Internet Service,very happy product,Product
191,Rahul,Acceptable performance,2025-03-01,Mobile App,acceptable performance,General
192,Priya,"Amazing experience, highly recommend",2025-10-26,Internet Service,amazing experience highly recommend,General
193,Divya,Very bad experience and disappointed,2025-07-07,E-commerce,very bad experience disappointed,Product
194,Divya,Decent product,2025-08-24,Laptop,decent product,Product
195,Rahul,Great service and fast delivery,2025-01-09,Banking App,great service fast delivery,Delivery
196,Sneha,Delivery was too late,2025-09-26,Mobile,delivery too late,Delivery
197,Anitha,Worst product ever,2025-03-28,Mobile,worst product ever,Product
198,Pooja,Very bad experience and disappointed,2025-04-03,E-commerce,very bad experience disappointed,Product
199,Suresh,Very bad experience and disappointed,2025-05-16,Headphones,very bad experience disappointed,Product
200,Divya,Decent product,2025-04-05,Smart Watch,decent product,Product
201,Arun,Great service and fast delivery,2025-11-11,Mobile App,great service fast delivery,Delivery
202,Suresh,Decent product,2025-02-21,E-commerce,decent product,Product
203,Anitha,Acceptable performance,2025-07-11,Smart Watch,acceptable performance,General
204,Divya,"Amazing experience, highly recommend",2025-05-31,Laptop,amazing experience highly recommend,General
205,Anitha,Very happy with the product,2025-07-27,Mobile,very happy product,Product
206,Sneha,Delivery was too late,2025-04-16,Mobile,delivery too late,Delivery
207,Manoj,Very happy with the product,2025-12-15,Internet Service,very happy product,Product
208,Suresh,Acceptable performance,2025-11-30,Headphones,acceptable performance,General
209,Pooja,Acceptable performance,2025-08-07,Banking App,acceptable performance,General
210,Divya,Acceptable performance,2025-05-04,Mobile App,acceptable performance,General
211,Pooja,Nothing special,2025-01-19,Smart Watch,nothing special,General
212,Priya,"Amazing experience, highly recommend",2025-03-27,Banking App,amazing experience highly recommend,General
213,Pooja,Acceptable performance,2025-10-20,Mobile App,acceptable performance,General
214,Divya,Great service and fast delivery,2025-09-30,Headphones,great service fast delivery,Delivery
215,Karthik,Excellent quality and very satisfied,2025-06-21,Smart Watch,excellent quality very satisfied,Product
216,Karthik,Nothing special,2025-07-06,Mobile App,nothing special,General
217,Divya,Excellent quality and very satisfied,2025-07-10,Laptop,excellent quality very satisfied,Product
218,Sneha,Okay for the price,2025-02-03,Laptop,okay price,Price
219,Priya,Very bad experience and disappointed,2025-06-14,Internet Service,very bad experience disappointed,Product
220,Arun,Excellent quality and very satisfied,2025-08-22,Headphones,excellent quality very satisfied,Product
221,Rahul,Acceptable performance,2025-09-22,Internet Service,acceptable performance,General
222,Anitha,Support team was very helpful,2025-12-07,Smart Watch,support team very helpful,Support
223,Karthik,Very happy with the product,2025-08-12,Laptop,very happy product,Product
224,Pooja,"Amazing experience, highly recommend",2025-02-03,Headphones,amazing experience highly recommend,General
225,Sneha,Decent product,2026-01-01,Laptop,decent product,Product
226,Manoj,Decent product,2025-02-04,Mobile,decent product,Product
227,Rahul,Okay for the price,2025-11-30,Mobile App,okay price,Price
228,Arun,Decent product,2025-02-04,Headphones,decent product,Product
229,Divya,Okay for the price,2025-09-30,Headphones,okay price,Price
230,Arun,Okay for the price,2025-07-07,Mobile App,okay price,Price
231,Pooja,Excellent quality and very satisfied,2025-11-14,Headphones,excellent quality very satisfied,Product
232,Sneha,Poor quality and waste of money,2025-01-06,Laptop,poor quality waste money,Product
233,Sneha,Great service and fast delivery,2025-03-07,Mobile,great service fast delivery,Delivery
234,Divya,Decent product,2025-11-01,E-commerce,decent product,Product
235,Pooja,Worst product ever,2025-08-16,Mobile App,worst product ever,Product
236,Divya,Support team was very helpful,2025-07-20,Headphones,support team very helpful,Support
237,Pooja,"Amazing experience, highly recommend",2025-06-24,Headphones,amazing experience highly recommend,General
238,Divya,Delivery was too late,2025-05-26,Internet Service,delivery too late,Delivery
239,Suresh,Worst product ever,2025-07-31,Headphones,worst product ever,Product
240,Divya,Decent product,2025-12-06,Smart Watch,decent product,Product
241,Rahul,Delivery was too late,2025-01-15,E-commerce,delivery too late,Delivery
242,Divya,Nothing special,2025-01-11,Mobile App,nothing special,General
243,Karthik,Customer support did not respond,2025-08-01,Banking App,customer support did not respond,Support
244,Priya,"Amazing experience, highly recommend",2025-11-07,E-commerce,amazing experience highly recommend,General
245,Sneha,Customer support did not respond,2025-06-01,Mobile,customer support did not respond,Support
246,Manoj,Delivery was too late,2025-04-04,E-commerce,delivery too late,Delivery
247,Suresh,Nothing special,2025-01-12,Banking App,nothing special,General
248,Sneha,Okay for the price,2025-11-08,E-commerce,okay price,Price
249,Arun,Very bad experience and disappointed,2025-12-10,Internet Service,very bad experience disappointed,Product
250,Suresh,Excellent quality and very satisfied,2025-08-13,Laptop,excellent quality very satisfied,Product
251,Pooja,"Amazing experience, highly recommend",2025-09-05,Internet Service,amazing experience highly recommend,General
252,Arun,Poor quality and waste of money,2025-08-07,Headphones,poor quality waste money,Product
253,Manoj,Delivery was too late,2025-02-21,Internet Service,delivery too late,Delivery
254,Priya,Very bad experience and disappointed,2025-04-04,Laptop,very bad experience disappointed,Product
255,Pooja,Very happy with the product,2025-02-14,E-commerce,very happy product,Product
256,Manoj,Excellent quality and very satisfied,2025-01-01,Mobile App,excellent quality very satisfied,Product
257,Priya,Very bad experience and disappointed,2025-04-03,Internet Service,very bad experience disappointed,Product
258,Karthik,Nothing special,2025-03-22,Mobile,nothing special,General
259,Arun,Okay for the price,2025-11-16,Headphones,okay price,Price
260,Priya,Poor quality and waste of money,2025-06-19,Mobile,poor quality waste money,Product
261,Priya,Average experience,2025-10-31,Internet Service,average experience,General
262,Arun,"Amazing experience, highly recommend",2025-08-13,Headphones,amazing experience highly recommend,General
263,Divya,"Amazing experience, highly recommend",2025-01-29,Smart Watch,amazing experience highly recommend,General
264,Suresh,"Amazing experience, highly recommend",2025-05-03,Banking App,amazing experience highly recommend,General
265,Priya,Poor quality and waste of money,2025-12-23,Mobile App,poor quality waste money,Product
266,Pooja,Worst product ever,2025-08-23,Smart Watch,worst product ever,Product
267,Priya,Okay for the price,2025-04-19,Mobile,okay price,Price
268,Priya,Very happy with the product,2025-10-29,Headphones,very happy product,Product
269,Divya,Okay for the price,2025-09-19,Internet Service,okay price,Price
270,Sneha,Acceptable performance,2025-06-02,E-commerce,acceptable performance,General
271,Divya,Very bad experience and disappointed,2025-12-05,Banking App,very bad experience disappointed,Product
272,Divya,Very happy with the product,2025-05-16,E-commerce,very happy product,Product
273,Arun,Acceptable performance,2025-04-02,Smart Watch,acceptable performance,General
274,Rahul,Acceptable performance,2025-10-23,E-commerce,acceptable performance,General
275,Anitha,Very happy with the product,2025-03-21,Mobile App,very happy product,Product
276,Rahul,Nothing special,2025-10-17,Mobile,nothing special,General
277,Sneha,Worst product ever,2025-11-12,Headphones,worst product ever,Product
278,Rahul,Worst product ever,2025-10-10,E-commerce,worst product ever,Product
279,Suresh,Worst product ever,2025-09-04,Mobile App,worst product ever,Product
280,Pooja,Great service and fast delivery,2025-05-15,Banking App,great service fast delivery,Delivery
281,Sneha,"Amazing experience, highly recommend",2025-04-01,Headphones,amazing experience highly recommend,General
282,Anitha,Poor quality and waste of money,2025-01-24,Headphones,poor quality waste money,Product
283,Pooja,Okay for the price,2025-07-12,Mobile App,okay price,Price
284,Anitha,Customer support did not respond,2025-04-01,Internet Service,customer support did not respond,Support
285,Priya,Okay for the price,2025-07-27,Laptop,okay price,Price
286,Rahul,Worst product ever,2025-08-19,Mobile App,worst product ever,Product
287,Pooja,Support team was very helpful,2025-12-23,Banking App,support team very helpful,Support
288,Suresh,Nothing special,2025-04-13,Laptop,nothing special,General
289,Anitha,Decent product,2025-06-14,Banking App,decent product,Product
290,Suresh,Customer support did not respond,2025-10-31,Headphones,customer support did not respond,Support
291,Anitha,Customer support did not respond,2025-01-27,Mobile,customer support did not respond,Support
292,Rahul,Customer support did not respond,2025-04-08,Headphones,customer support did not respond,Support
293,Pooja,Poor quality and waste of money,2025-04-21,Headphones,poor quality waste money,Product
294,Priya,Nothing special,2025-05-09,Laptop,nothing special,General
295,Pooja,Average experience,2025-01-27,E-commerce,average experience,General
296,Suresh,Decent product,2025-06-02,Mobile App,decent product,Product
297,Pooja,Excellent quality and very satisfied,2025-07-22,Laptop,excellent quality very satisfied,Product
298,Priya,Excellent quality and very satisfied,2025-06-07,Internet Service,excellent quality very satisfied,Product
299,Karthik,Poor quality and waste of money,2025-07-27,Banking App,poor quality waste money,Product
300,Suresh,Okay for the price,2025-12-06,Headphones,okay price,Price
301,Priya,Okay for the price,2025-06-10,E-commerce,okay price,Price
302,Priya,Excellent quality and very satisfied,2025-09-28,Mobile,excellent quality very satisfied,Product
303,Pooja,Delivery was too late,2025-03-13,Headphones,delivery too late,Delivery
304,Arun,Great service and fast delivery,2025-02-06,Smart Watch,great service fast delivery,Delivery
305,Karthik,Average experience,2025-05-30,Mobile App,average experience,General
306,Pooja,Support team was very helpful,2025-06-11,E-commerce,support team very helpful,Support
307,Priya,Delivery was too late,2025-03-22,Mobile App,delivery too late,Delivery
308,Priya,Excellent quality and very satisfied,2025-02-05,Internet Service,excellent quality very satisfied,Product
309,Sneha,Support team was very helpful,2025-11-28,Headphones,support team very helpful,Support
310,Anitha,Decent product,2025-01-31,Mobile,decent product,Product
311,Sneha,Okay for the price,2025-08-13,Internet Service,okay price,Price
312,Anitha,Nothing special,2025-03-17,Banking App,nothing special,General
313,Rahul,Acceptable performance,2025-11-01,E-commerce,acceptable performance,General
314,Anitha,Very happy with the product,2025-06-25,Headphones,very happy product,Product
315,Anitha,Support team was very helpful,2025-05-03,E-commerce,support team very helpful,Support
316,Suresh,Support team was very helpful,2025-12-05,E-commerce,support team very helpful,Support
317,Pooja,Very bad experience and disappointed,2025-08-07,Mobile,very bad experience disappointed,Product
318,Pooja,Delivery was too late,2025-03-15,Headphones,delivery too late,Delivery
319,Divya,Worst product ever,2025-01-05,Smart Watch,worst product ever,Product
320,Anitha,Very bad experience and disappointed,2025-05-22,Mobile App,very bad experience disappointed,Product
321,Arun,Okay for the price,2025-06-03,Mobile App,okay price,Price
322,Suresh,Very happy with the product,2025-10-18,Laptop,very happy product,Product
323,Divya,Support team was very helpful,2025-07-20,Laptop,support team very helpful,Support
324,Priya,Worst product ever,2025-03-15,Mobile,worst product ever,Product
325,Rahul,Very happy with the product,2025-12-30,Internet Service,very happy product,Product
326,Sneha,Very bad experience and disappointed,2025-09-19,Laptop,very bad experience disappointed,Product
327,Anitha,"Amazing experience, highly recommend",2025-04-24,Mobile,amazing experience highly recommend,General
328,Pooja,Okay for the price,2025-02-09,Banking App,okay price,Price
329,Suresh,"Amazing experience, highly recommend",2025-11-23,Internet Service,amazing experience highly recommend,General
330,Manoj,Decent product,2025-05-16,Internet Service,decent product,Product
331,Priya,Great service and fast delivery,2025-12-11,Banking App,great service fast delivery,Delivery
332,Karthik,Very bad experience and disappointed,2025-06-28,Laptop,very bad experience disappointed,Product
333,Divya,Support team was very helpful,2025-12-15,Banking App,support team very helpful,Support
334,Manoj,Very happy with the product,2025-09-21,Internet Service,very happy product,Product
335,Suresh,Average experience,2025-07-04,Mobile App,average experience,General
336,Divya,Very happy with the product,2025-01-15,E-commerce,very happy product,Product
337,Anitha,Nothing special,2025-03-10,Headphones,nothing special,General
338,Karthik,Customer support did not respond,2025-01-28,Banking App,customer support did not respond,Support
339,Priya,Decent product,2025-04-12,E-commerce,decent product,Product
340,Sneha,Poor quality and waste of money,2025-09-04,Mobile,poor quality waste money,Product
341,Sneha,Delivery was too late,2025-02-11,E-commerce,delivery too late,Delivery
342,Arun,"Amazing experience, highly recommend",2025-09-25,Banking App,amazing experience highly recommend,General
343,Manoj,"Amazing experience, highly recommend",2025-10-01,Laptop,amazing experience highly recommend,General
344,Divya,Okay for the price,2025-10-17,Headphones,okay price,Price
345,Arun,Worst product ever,2025-05-12,Smart Watch,worst product ever,Product
346,Anitha,Poor quality and waste of money,2025-09-16,Laptop,poor quality waste money,Product
347,Rahul,Customer support did not respond,2025-02-26,Banking App,customer support did not respond,Support
348,Suresh,Delivery was too late,2025-10-20,E-commerce,delivery too late,Delivery
349,Rahul,Average experience,2025-10-31,Internet Service,average experience,General
350,Manoj,Nothing special,2025-01-23,Banking App,nothing special,General
351,Arun,Okay for the price,2025-11-27,Mobile App,okay price,Price
352,Anitha,Worst product ever,2025-06-22,Mobile,worst product ever,Product
353,Pooja,Delivery was too late,2025-03-30,Mobile,delivery too late,Delivery
354,Priya,Great service and fast delivery,2025-05-17,E-commerce,great service fast delivery,Delivery
355,Suresh,Very happy with the product,2025-10-10,Mobile App,very happy product,Product
356,Suresh,Nothing special,2025-08-10,Mobile,nothing special,General
357,Manoj,Worst product ever,2025-11-06,Internet Service,worst product ever,Product
358,Pooja,Poor quality and waste of money,2025-10-17,Smart Watch,poor quality waste money,Product
359,Divya,Worst product ever,2025-03-03,Laptop,worst product ever,Product
360,Priya,Very bad experience and disappointed,2025-10-29,Internet Service,very bad experience disappointed,Product
361,Pooja,Excellent quality and very satisfied,2025-08-18,Headphones,excellent quality very satisfied,Product
362,Karthik,Acceptable performance,2025-10-14,Smart Watch,acceptable performance,General
363,Suresh,Nothing special,2025-03-21,Smart Watch,nothing special,General
364,Karthik,Very bad experience and disappointed,2025-06-05,E-commerce,very bad experience disappointed,Product
365,Arun,"Amazing experience, highly recommend",2025-07-18,Internet Service,amazing experience highly recommend,General
366,Manoj,Worst product ever,2025-07-04,Banking App,worst product ever,Product
